underlying_price,strike,expiration_date,option_type,bid,ask,volume,open_interest,last_price,implied_volatility,T,moneyness
408.2099914550781,355.0,2025-03-28,call,53.75,58.05,3.0,4,55.38,0.46533737792968755,0.09159011185612975,0.8696504432304331
408.2099914550781,360.0,2025-03-28,call,49.0,53.25,5.0,7,54.0,0.44031321411132807,0.09159011185612975,0.881899041022411
408.2099914550781,365.0,2025-03-28,call,44.75,48.55,2.0,2,49.4,0.4176693975830078,0.09159011185612975,0.894147638814389
408.2099914550781,370.0,2025-03-28,call,40.15,42.5,1.0,2,44.13,0.35352208984374994,0.09159011185612975,0.9063962366063669
408.2099914550781,375.0,2025-03-28,call,36.3,39.2,3.0,4,41.14,0.3704896936035156,0.09159011185612975,0.9186448343983449
408.2099914550781,380.0,2025-03-28,call,31.25,33.45,24.0,11,34.0,0.3166572241210937,0.09159011185612975,0.9308934321903227
408.2099914550781,385.0,2025-03-28,call,28.0,30.35,1.0,9,33.25,0.33008482421874996,0.09159011185612975,0.9431420299823007
408.2099914550781,390.0,2025-03-28,call,22.9,25.65,25.0,47,25.4,0.3002084140014648,0.09159011185612975,0.9553906277742786
408.2099914550781,395.0,2025-03-28,call,19.3,21.8,1.0,17,23.54,0.2868723657226562,0.09159011185612975,0.9676392255662566
408.2099914550781,400.0,2025-03-28,call,17.0,18.75,59.0,348,17.27,0.2859263302612304,0.09159011185612975,0.9798878233582344
408.2099914550781,405.0,2025-03-28,call,12.15,16.2,88.0,148,14.37,0.289496851196289,0.09159011185612975,0.9921364211502124
408.2099914550781,410.0,2025-03-28,call,10.0,13.3,342.0,598,11.0,0.28055529022216785,0.09159011185612975,1.0043850189421903
408.2099914550781,415.0,2025-03-28,call,8.5,10.75,458.0,1175,8.7,0.27304804107666014,0.09159011185612975,1.0166336167341683
408.2099914550781,420.0,2025-03-28,call,6.45,6.65,739.0,901,6.47,0.22687540710449217,0.09159011185612975,1.0288822145261463
408.2099914550781,425.0,2025-03-28,call,4.8,4.95,651.0,553,5.0,0.22229781616210934,0.09159011185612975,1.0411308123181242
408.2099914550781,430.0,2025-03-28,call,3.45,3.6,277.0,950,3.45,0.21851367431640623,0.09159011185612975,1.0533794101101022
408.2099914550781,435.0,2025-03-28,call,2.45,2.56,203.0,440,2.5,0.21546194702148438,0.09159011185612975,1.06562800790208
408.2099914550781,440.0,2025-03-28,call,1.68,3.1,437.0,916,1.78,0.25604992004394533,0.09159011185612975,1.0778766056940579
408.2099914550781,445.0,2025-03-28,call,1.19,1.29,388.0,406,1.22,0.21448539428710936,0.09159011185612975,1.0901252034860358
408.2099914550781,450.0,2025-03-28,call,0.84,0.94,669.0,738,0.9,0.21680470703125,0.09159011185612975,1.1023738012780138
408.2099914550781,455.0,2025-03-28,call,0.61,0.67,90.0,600,0.65,0.21839160522460935,0.09159011185612975,1.1146223990699917
408.2099914550781,460.0,2025-03-28,call,0.44,0.52,76.0,186,0.49,0.2238847143554687,0.09159011185612975,1.1268709968619697
408.2099914550781,465.0,2025-03-28,call,0.33,0.4,108.0,59,0.36,0.22876747802734376,0.09159011185612975,1.1391195946539476
408.2099914550781,470.0,2025-03-28,call,0.25,0.3,19.0,163,0.3,0.23242955078125,0.09159011185612975,1.1513681924459256
408.2099914550781,475.0,2025-03-28,call,0.19,0.27,17.0,70,0.34,0.24292749267578123,0.09159011185612975,1.1636167902379035
408.2099914550781,480.0,2025-03-28,call,0.15,0.23,29.0,188,0.25,0.25049577636718745,0.09159011185612975,1.1758653880298813
408.2099914550781,485.0,2025-03-28,call,0.12,0.19,1.0,151,0.13,0.256843369140625,0.09159011185612975,1.1881139858218592
408.2099914550781,350.0,2025-04-04,call,59.65,62.15,,4,59.83,0.42340664489746094,0.11075506736605445,0.8574018454384552
408.2099914550781,370.0,2025-04-04,call,41.75,43.05,1.0,5,43.0,0.3381108670043945,0.11075506736605445,0.9063962366063669
408.2099914550781,375.0,2025-04-04,call,36.5,38.75,,1,38.21,0.32688051055908207,0.11075506736605445,0.9186448343983449
408.2099914550781,380.0,2025-04-04,call,32.65,35.7,10.0,196,34.5,0.3420170779418945,0.11075506736605445,0.9308934321903227
408.2099914550781,390.0,2025-04-04,call,24.75,25.95,11.0,8,25.25,0.2802806347656249,0.11075506736605445,0.9553906277742786
408.2099914550781,395.0,2025-04-04,call,21.65,23.95,1.0,6,22.28,0.3039010040283203,0.11075506736605445,0.9676392255662566
408.2099914550781,400.0,2025-04-04,call,16.9,20.6,18.0,206,18.25,0.29566134033203123,0.11075506736605445,0.9798878233582344
408.2099914550781,405.0,2025-04-04,call,14.0,17.45,24.0,52,15.18,0.28708598663330076,0.11075506736605445,0.9921364211502124
